topic,term,similarity,keep
Modern racism& inequality,volkeren,0.7105705765094202,True
Modern racism& inequality,afkomstige,0.6827885228569952,True
Modern racism& inequality,geheime,0.6791311833004438,True
Modern racism& inequality,verscheidene,0.6784479918257194,True
Modern racism& inequality,nederzetting,0.6728496978793421,True
Modern racism& inequality,afkomst,0.6706783421803012,True
Modern racism& inequality,maatschappelijk,0.6684170697199873,True
Modern racism& inequality,schappen,0.6663126229214392,True
Modern racism& inequality,gevestigd,0.6635213775509088,True
Modern racism& inequality,bevestigd,0.6633194484847689,True
Modern racism& inequality,beschaving,0.6629033134468498,True
Modern racism& inequality,bezetting,0.6615196599830161,True
Modern racism& inequality,werelden,0.6600805049146625,True
Modern racism& inequality,maatschappelijke,0.6598903930192979,True
Modern racism& inequality,discriminerend,0.6595742464993409,True
Modern racism& inequality,welstand,0.6587432087372542,True
Modern racism& inequality,regeringen,0.6568501374334474,True
Modern racism& inequality,ongelijkheden,0.6543859258153496,True
Modern racism& inequality,discrimineren,0.6543663582733033,True
Modern racism& inequality,verbieden,0.6538704367759098,True
Modern racism& inequality,samengestelde,0.6527845534509555,True
Modern racism& inequality,georganiseerde,0.6524468569077717,True
Modern racism& inequality,gediscrimineerd,0.6518121923080781,True
Modern racism& inequality,bescheiden,0.6515726895925263,True
Modern racism& inequality,burgerlijke,0.6467146376131253,True
Modern racism& inequality,bezette,0.6465029731986305,True
Modern racism& inequality,sociaal,0.6459591080376624,True
Modern racism& inequality,samenleving,0.6441066329912577,True
Modern racism& inequality,akten,0.6431488977873765,True
Modern racism& inequality,oprichting,0.6428554841813452,True
Modern racism& inequality,discriminerende,0.6404822310873743,True
Modern racism& inequality,huis,0.6404356687317192,True
Modern racism& inequality,vroedschap,0.6390915302493647,True
Modern racism& inequality,bezitten,0.6390732353934058,True
Modern racism& inequality,discriminatie,0.6375792897877176,True
Modern racism& inequality,behartigen,0.6369646565584154,True
Modern racism& inequality,bevol,0.6364629958859073,True
Modern racism& inequality,particuliere,0.6360723581538021,True
Modern racism& inequality,samenlevingen,0.6350989895534372,True
Modern racism& inequality,vertegenwoordigen,0.6324951146353673,True
Modern racism& inequality,stedelijke,0.6323679591854097,True
Modern racism& inequality,bevinden,0.6323533079693703,True
Modern racism& inequality,uitkomst,0.6313817450812339,True
Modern racism& inequality,vereenigen,0.6312283313210107,True
Modern racism& inequality,ongelijke,0.6294362591569626,True
Modern racism& inequality,gemeentelijke,0.6290068651950864,True
Modern racism& inequality,verworven,0.6282805061355352,True
Modern racism& inequality,opstanden,0.624243273781039,True
Modern racism& inequality,koloniaal,0.6233995413323373,True
Modern racism& inequality,afwezigheid,0.6233393568403707,True
