filename,filepath,document_type,year,sentence,topic,confidence
ambtsbericht-nigeria-2015-10-08.10.txt,Policyarchive_text\ambtsberichten\2015\ambtsbericht-nigeria-2015-10-08\ambtsbericht-nigeria-2015-10-08.10.txt,ambtsberichten,2015,"New Nigeria government faces tough economic decisions,
http://www.oxan.com/display.aspx?ItemID=DB199788;",Dehumanization & Scientific Racism,1.0
ambtsbericht-nigeria-2015-10-08.10.txt,Policyarchive_text\ambtsberichten\2015\ambtsbericht-nigeria-2015-10-08\ambtsbericht-nigeria-2015-10-08.10.txt,ambtsberichten,2015,"strike was warning for shot to new
leader (27 mei 2015), http://www.oxan.com/display.aspx?ItemID=ES199822.",Dehumanization & Scientific Racism,1.0
ambtsbericht-nigeria-2015-10-08.10.txt,Policyarchive_text\ambtsberichten\2015\ambtsbericht-nigeria-2015-10-08\ambtsbericht-nigeria-2015-10-08.10.txt,ambtsberichten,2015,"fuel strike was a warning shot to new leader, http://www.oxan.com/display.aspx?ItemID=ES199822.",Dehumanization & Scientific Racism,1.0
ambtsbericht-nigeria-2015-10-08.10.txt,Policyarchive_text\ambtsberichten\2015\ambtsbericht-nigeria-2015-10-08\ambtsbericht-nigeria-2015-10-08.10.txt,ambtsberichten,2015,"Eerdere pogingen van de voormalige regering om de
brandstofsubsidies af te schaffen in 2012 leidden tot felle demonstraties.
19
Vision of humanity, Global Peace Index 2015 (www.visionofhumanity.org, geraadpleegd 30 september 2015).",Dehumanization & Scientific Racism,1.0
ambtsbericht-nigeria-2015-10-08.11.txt,Policyarchive_text\ambtsberichten\2015\ambtsbericht-nigeria-2015-10-08\ambtsbericht-nigeria-2015-10-08.11.txt,ambtsberichten,2015,"(Chief of Defence
Staff and Service Chiefs).21
In de periode voor 1 mei 2013 viel de inzet van de krijgsmacht in Borno onder een
zogenaamde Joint Task Force (JTF)22, die rechtstreeks viel onder de Chief of Defence
Staff.",Dehumanization & Scientific Racism,1.0
ambtsbericht-nigeria-2015-10-08.11.txt,Policyarchive_text\ambtsberichten\2015\ambtsbericht-nigeria-2015-10-08\ambtsbericht-nigeria-2015-10-08.11.txt,ambtsberichten,2015,"In de volksmond
werden de burgerwachten ‘Civilian Joint Task Force’ gedoopt.",Dehumanization & Scientific Racism,1.0
ambtsbericht-nigeria-2015-10-08.11.txt,Policyarchive_text\ambtsberichten\2015\ambtsbericht-nigeria-2015-10-08\ambtsbericht-nigeria-2015-10-08.11.txt,ambtsberichten,2015,"Volgens de New York
Times werd de zogenaamde Civilian Joint Task Force (C-JTF) formeel ingesteld met
een hoofdkantoor in Maiduguri (hoofdstad van de deelstaat Borno).25",Dehumanization & Scientific Racism,1.0
ambtsbericht-nigeria-2015-10-08.11.txt,Policyarchive_text\ambtsberichten\2015\ambtsbericht-nigeria-2015-10-08\ambtsbericht-nigeria-2015-10-08.11.txt,ambtsberichten,2015,"De Joint Task Force is samengesteld uit militairen van het leger, marine, luchtmacht en de mobiele politie, en
werd opgericht in 2004 om de orde te herstellen in de Niger,
Delta,http://www.eyesonnigeria.org/EON_Delta.html.
23
Vertrouwelijke bron.
24
Vertrouwelijke bron.
25
New York Times Magazine (5 november 2014):",Dehumanization & Scientific Racism,1.0
ambtsbericht-nigeria-2015-10-08.12.txt,Policyarchive_text\ambtsberichten\2015\ambtsbericht-nigeria-2015-10-08\ambtsbericht-nigeria-2015-10-08.12.txt,ambtsberichten,2015,"Een adequate tactische training gericht op de
tegenstander, die in losse onafhankelijk cellen opereert, ontbrak eveneens.",Everyday Racism & Modern Racial Inequality,1.0
ambtsbericht-nigeria-2015-10-08.14.txt,Policyarchive_text\ambtsberichten\2015\ambtsbericht-nigeria-2015-10-08\ambtsbericht-nigeria-2015-10-08.14.txt,ambtsberichten,2015,"In januari 2015 blies de African Union Peace and Security Council het idee van de
Multinational Joint Task Force nieuw leven in, nadat Boko Haram ook in de naburige
landen aanslagen pleegde.",Dehumanization & Scientific Racism,1.0
ambtsbericht-nigeria-2015-10-08.14.txt,Policyarchive_text\ambtsberichten\2015\ambtsbericht-nigeria-2015-10-08\ambtsbericht-nigeria-2015-10-08.14.txt,ambtsberichten,2015,"International Coalition for the Responsibility to Protect: The Crisis in Nigeria,
http://www.responsibilitytoprotect.org/index.php/crises/crisis-in-nigeria;",Dehumanization & Scientific Racism,1.0
ambtsbericht-nigeria-2015-10-08.14.txt,Policyarchive_text\ambtsberichten\2015\ambtsbericht-nigeria-2015-10-08\ambtsbericht-nigeria-2015-10-08.14.txt,ambtsberichten,2015,"Boko Haram, http://www.nytimes.com/2015/03/13/world/africa/nigerias-fight-against-boko-
haram-gets-help-from-south-african-mercenaries.html?_r=0;",Dehumanization & Scientific Racism,1.0
ambtsbericht-nigeria-2015-10-08.14.txt,Policyarchive_text\ambtsberichten\2015\ambtsbericht-nigeria-2015-10-08\ambtsbericht-nigeria-2015-10-08.14.txt,ambtsberichten,2015,"Information Centre Asylum and Migration, briefing notes,
http://www.refworld.org/cgiin/texis/vtx/rwmain?page=topic&docid=552f87fe4&skip=0&coi=NGA&tocid=50ffbce5
82&toid=50ffbce58e&searchin",Dehumanization & Scientific Racism,1.0
ambtsbericht-nigeria-2015-10-08.15.txt,Policyarchive_text\ambtsberichten\2015\ambtsbericht-nigeria-2015-10-08\ambtsbericht-nigeria-2015-10-08.15.txt,ambtsberichten,2015,"Boko Haram Camp explode,
http://www.theguardian.com/world/2015/jun/17/boko-haram-homemade-bombs-nigeria-monguno-scores-dead;",Dehumanization & Scientific Racism,1.0
ambtsbericht-nigeria-2015-10-08.15.txt,Policyarchive_text\ambtsberichten\2015\ambtsbericht-nigeria-2015-10-08\ambtsbericht-nigeria-2015-10-08.15.txt,ambtsberichten,2015,"Vertrouwelijke bron.
44
International coalition for the responsibility to protect: The crisis in Nigeria,
http://www.responsibilitytoprotect.org/index.php/crisies/crisis-in-nigeria.",Dehumanization & Scientific Racism,1.0
ambtsbericht-nigeria-2015-10-08.16.txt,Policyarchive_text\ambtsberichten\2015\ambtsbericht-nigeria-2015-10-08\ambtsbericht-nigeria-2015-10-08.16.txt,ambtsberichten,2015,"Kamerstuk vergaderjaar 2012-2013, nr 2302, Aanhangsel
van de Handelingen.
51
Voor een uitgebreid overzicht van de aanvallen van Boko Haram vanaf medio oktober 2012 tot eind 2013 wordt
verwezen naar het overzicht gepubliceerd door Integrated Regional Information Networks (IRIN) 22 febrauri
2013: Timeline of Boko Haram and related violence in Nigeria,
http://www.irinnews.org/websiteerror.htm?aspxerrorpath=/report.aspx; en Punch",Dehumanization & Scientific Racism,1.0
ambtsbericht-nigeria-2015-10-08.16.txt,Policyarchive_text\ambtsberichten\2015\ambtsbericht-nigeria-2015-10-08\ambtsbericht-nigeria-2015-10-08.16.txt,ambtsberichten,2015,Prospects for Africa in the third quarter-Analysis Nigeria.,Dehumanization & Scientific Racism,1.0
ambtsbericht-nigeria-2015-10-08.17.txt,Policyarchive_text\ambtsberichten\2015\ambtsbericht-nigeria-2015-10-08\ambtsbericht-nigeria-2015-10-08.17.txt,ambtsberichten,2015,"Boko haram pledge of allegiance, http://america.aljazeera.com/articles/2015/3/13/isil-accepts-boko-haram-
pledge-of-allegiance.html
57
BBC news Africa (19 augustus 2013):",Dehumanization & Scientific Racism,1.0
ambtsbericht-nigeria-2015-10-08.17.txt,Policyarchive_text\ambtsberichten\2015\ambtsbericht-nigeria-2015-10-08\ambtsbericht-nigeria-2015-10-08.17.txt,ambtsberichten,2015,"’s talks,
http://www.reuters.com/article/2014/11/03/us-nigeria-violence-chad-insight-idUSKBN0IN1MG20141103;
Al Jazeera (22 juni 2014): mama Boko Haram grasps for peace in Nigeria;",Dehumanization & Scientific Racism,1.0
