filename,chunk_num,chunk_text,topic,confidence,chunk_5w_len,cosine_similarity
mariene-strategie-voor-het-nederlandse-deel-van-de-noordzee-2012-2020-deel-3.pdf,22,De uropese kaderrichtlijn Mariene Strategie (KRM) verplicht de U-lidstaten een strategie te ontwikkelen om in 2020 in het eigen zeegebied – voor Nederland het Nederlandse deel van de Noordzee - een goede milieutoestand te bereiken en/of te behouden en maatregelen te nemen die ervoor zorgen dat de daarvoor gestelde doelen worden bereikt. Bouwstenen voor die strategie zijn de al bestaande beleidskaders en de daaruit voortkomende maatregelen. Waar deze tekort schieten moeten de lidstaten aanvullende maatregelen formuleren. Verder verplicht de richtlijn tot internationale samenhang en samenwerking in de noordoost Atlantische regio en meer specifiek met de Noordzeelanden.,Everyday Racism & Modern Racial Inequality,1.0,114,0.03324797651230731
mariene-strategie-voor-het-nederlandse-deel-van-de-noordzee-2012-2020-deel-3.pdf,33,"Binnen de kaders van IMO en GVB zet het kabinet in op verduurzaming van scheepvaart en visserij. Bij de terugdringing van vervuiling vanuit bronnen op het land sluit het kabinet aan op het bestaande milieubeleid en de uitvoering van de Kaderrichtlijn Water. 2 Gebieds- en soortenaanpak Het kabinet wil met een gebiedsgerichte aanpak de bescherming van kwetsbare ecologische soorten en gebieden waarborgen, zoals Natura 2000-gebieden en de aanvullende bescherming op het riese ront en de Centrale Oestergronden. Deze maatregelen vloeien voort uit de VHR en KRM verplichting om met de bescherming van bepaalde ecologische / habitat gebieden van het Nederlandse deel van de Noordzee de goede milieutoestand van het mariene ecosysteem dichterbij te brengen en bij te dragen aan een samenhangend en representatief netwerk van beschermde mariene gebieden.",Everyday Racism & Modern Racial Inequality,1.0,156,0.03163807604230908
mariene-strategie-voor-het-nederlandse-deel-van-de-noordzee-2012-2020-deel-3.pdf,61,"De U-Richtlijn voor duurzaam gebruik van pesticiden is in Nederland uitgewerkt in het Actieplan duurzame gewasbescherming. Het nationale beleid dat uit de richtlijn voortvloeit is vastgelegd in de 2e Nota duurzame gewasbescherming. • De belangrijkste afspraken voor de voorbereiding, samenwerking en coördinatie bij rampenbestrijding en incidentenaanpak op zee zijn vastgelegd in het Rampenplan voor de Noordzee (als onderdeel van het Incident Bestrijdings Plan), de Samenwerkings- regeling Bestrijding Kustverontreiniging en het Samenwerkingsplan Besmeurde Vogels. Ook vindt er internationale samenwerking plaats via de Overeenkomst van Bonn over samenwerking bij bestrijding van verontreiniging van de Noordzee.",Everyday Racism & Modern Racial Inequality,1.0,126,0.03206127424169822
lp-v-j-0000007648.pdf,8,"Het strafrecht is, waar het gaat om de aanpak van huwelijksdwang, een belangrijk en noodzakelijk sluitstuk, maar wordt als ultimum remedium toegepast. Bij de aanpak van huwelijksdwang wordt eerst en vooral ingezet op maatregelen om huwelijksdwang te voorkomen, zoals maatregelen op het terrein van voorlichting, bewustwording, mentaliteitsverandering, deskundigheidsbevordering en vroegsignalering. Bij brief van 5 januari 2015 (Kamerstukken II 2014/15, 32 175, nr. 54) heeft de Minister van Sociale Zaken en Werkgelegenheid een Actieplan zelfbeschikking 2015-2017 aan uw Kamer gestuurd. Dit actieplan moet ertoe leiden dat mensen zich bewust zijn dat ze het recht hebben om zelf keuzes te maken over hun eigen leven. De opsporing en vervolging van zaken van geweld in huiselijke kring, waaronder huwelijksdwang, kunnen desalniettemin rekenen op de continue aandacht van politie en OM.",Everyday Racism & Modern Racial Inequality,1.0,160,0.03189116091711785
lp-v-j-0000007648.pdf,12,"In het kader van de totstandkoming van de wijziging van het Wetboek van Strafrecht, het Wetboek van Strafvordering en het Wetboek van Strafrecht BS met het oog op de verruiming van de mogelijkheden tot strafrechtelijke aanpak van huwelijksdwang, polygamie en vrouwelijke genitale verminking, is uitgebreid toegelicht waarom de algemene strafbaarstelling van dwang in het Wetboek van Strafrecht volstaat bij de strafrechtelijke aanpak van huwelijksdwang. Graag verwijs ik naar de memorie van toelichting bij dit wetsvoorstel (Kamerstukken II 32 840, 2010/11, nr. 3, p. 5 e.v.). Ingevolge artikel 284, tweede lid, Sr vindt uitsluitend in het geval dwang wordt uitgeoefend door bedreiging met smaad of een smaadschrift vervolging plaats op klacht. Bij huwelijksdwang zal doorgaans sprake zijn van de omstandigheden in artikel 284, eerste lid, onder 1, Sr te weten: dwang die wordt uitgeoefend door geweld of enige andere feitelijkheid of bedreiging hiermee.",Reparations & Justice,1.0,176,0.04854984425717232
bijlage-1-nota-naar-aanleiding-van-het-verslag-omgevingswet.pdf,58,"De reactie van de regering op de thema’s sturing op kwaliteit van de fysieke leefomgeving, de balans tussen flexibiliteit en rechtszekerheid en de verhouding tussen wet en AMvB’s wordt hieronder samengevat en verder toegelicht in de hoofdstukken 2, 3, 4 en 5. Daarna worden in hoofdstuk 6 en 7 per doelgroep (burgers, bedrijven en bestuursorganen) een aantal thema’s toegelicht en worden in hoofdstuk 8 de vragen over de instrumenten beantwoord. Vanaf hoofdstuk 9 worden vragen over overige thema’s beantwoord, waarbij de hoofdstukindeling van het verslag zoveel mogelijk is gevolgd. 12 In paragraaf 2.4 van deze nota zijn de hoofdlijnen van het stelsel en de verschillende sturingsmogelijkheden kort toegelicht.",Reparations & Justice,1.0,130,0.04911623185736344
bijlage-1-nota-naar-aanleiding-van-het-verslag-omgevingswet.pdf,59,"De regering wil hiermee, voordat de vragen over specifieke onderdelen beantwoord worden, op hoofdlijnen inzicht bieden in de werking van de verschillende instrumenten en bepalingen elk een bijdrage leveren aan de doelstellingen van het wetsvoorstel. Met deze opzet is niet de volgorde van het verslag aangehouden. Om te voorkomen dat onduidelijk is waar een vraag is beantwoord, is in bijlage 4 een tabel opgenomen waarin voor alle vragen is aangegeven in welke paragraaf van het verslag het antwoord is te vinden en zijn in het verslag tussen haakjes de nummers van de vragen vermeld. r is gevraagd naar een overzicht van de bestaande wetten die opgaan in de Omgevingswet. In bijlage 1 wordt per wet wordt inzichtelijk gemaakt welke onderdelen zullen opgaan in het voorliggende voorstel voor de Omgevingswet.",Reparations & Justice,1.0,147,0.06245702012211998
bijlage-1-nota-naar-aanleiding-van-het-verslag-omgevingswet.pdf,65,"Het biedt de instrumenten, taakopdrachten, bevoegdheden en verplichtingen om te zorgen dat de doelen van de wet voor de kwaliteit van de fysieke leefomgeving worden gerealiseerd. Het bevat bijvoorbeeld verplichtingen tot het stellen van omgevingswaarden of algemene regels over concrete onderdelen van de fysieke leefomgeving of activiteiten. Daarbij gaat het wetsvoorstel uit van een samenhangende aanpak die ervoor zorgt dat alle relevante belangen (ruimte, water, infrastructuur, milieu, natuur en wonen) van begin af aan worden meegenomen in het beleids- en 13 besluitvormingsproces. Dit biedt kansen voor kwaliteit, slimme combinaties en duurzame oplossingen. Het biedt ook meer waarborgen voor veiligheid, gezondheid en omgevingskwaliteit.",Everyday Racism & Modern Racial Inequality,1.0,132,0.03998556785721836
tk-nota-naar-aanleiding-van-het-verslag-invoeringswet-vereenvoudiging-en-digitalisering-procesrecht.pdf,3,"1. Inleiding De leden van de CDA-fractie zijn benieuwd hoe binnen de implementatie van het KI- programma momenteel rekening wordt gehouden met de uitvoering van de motie-Oskam (Kamerstuk 34059, nr. 12). Op grond van deze motie gaat de gefaseerde inwerkingtreding van de twee wetsvoorstellen KI en de Invoeringswet ten aanzien van de nationale wetgeving in beginsel van start een half jaar na plaatsing van deze drie wetsvoorstellen in het Staatsblad. Wanneer de inwerkingtreding precies plaatsvindt, is afhankelijk van de parlementaire behandeling, maar mijn streven is dat medio 2016 de eerste fase van inwerkingtreding van start kan gaan.",Reparations & Justice,1.0,119,0.05011412058878975
tk-nota-naar-aanleiding-van-het-verslag-invoeringswet-vereenvoudiging-en-digitalisering-procesrecht.pdf,5,"Het gaat om belemmeringen in de formulering van de wet die handelingen op papier voorschrijft. In het onderhavige wetsvoorstel gaat het bijvoorbeeld om artikel 25 van de Rijkswet Noodvoorzieningen Scheepvaart. Het eerste lid bepaalt dat een verzoekschrift in drievoud moet worden ingediend en in het derde lid staat dat de griffier de verzoeker en andere belanghebbenden bij aangetekende brief in kennis stelt van de dag waarop de zaak ter rolle wordt uitgeroepen. In een digitale omgeving is het in drievoud indienen van een procesinleiding niet nodig, omdat processtukken in het digitale dossier van de partijen ter beschikking worden gesteld. De kennisgeving van de griffier bij aangetekende brief kan voorts worden vervangen door een schriftelijke kennisgeving via het digitale systeem, waarbij met behulp van notificaties langs elektronische weg een vergelijkbare waarborg wordt geboden dat berichten van het gerecht de belanghebbende partijen bereiken.",Reparations & Justice,1.0,168,0.06981201815942967
