chunk_id,filename,primary_topic,max_score,cos_Colonialism,cos_Historical Slavery,cos_Modern Racism & Inequality,confidence_level,raw_text
4ff7146d:00000,C:\Users\Home\policy-analysis\Slavery_text\Racisme bij het Ministerie van Buitenlandse Zaken. Een verkennend onderzoek.14.txt,Modern Racism & Inequality,0.6326256253192971,0.3683741570177545,0.4169769507387992,0.6326256253192971,high,"RACISME BIJ HET MINISTERIE VAN BUITENLANDSE ZAKEN 
Een verkennend onderzoek 
 
14 
 
komende jaren onderzoek doen naar discriminatie en racisme in uiteenlopende sectoren 
van de samenleving, inclusief de overheid. 1.1 De betekenissen van racisme 
In met name hoofdstuk 3 werken we de betekenis van racisme aan de hand van de 
concrete ervaringen van respondenten nader uit. In deze inleiding staan we op 
hoofdlijnen stil bij de betekenis van racisme. Juridische benadering van racisme 
Discriminatie op grond van onder meer ras, godsdienst en levensovertuiging is in 
Nederland verboden, zoals artikel 1 van de Grondwet duidelijk maakt. In juridisch 
perspectief is ook het Internationaal Verdrag Inzake de uitbanning van alle vormen van 
rassendiscriminatie relevant. Dit verdrag werd in 1965 aangenomen door de Verenigde 
Naties. Racisme wordt hierin omschreven als:  
 
“Elke vorm van onderscheid, uitsluiting, beperking of voorkeur op grond van ras, 
huidskleur, afkomst of nationale of etnische afstamming die ten doel heeft de erkenning, 
het genot of de uitoefening, op voet van gelijkheid, van de rechten van de mens en de 
fundamentele vrijheden op politiek, economisch, sociaal of cultureel gebied, of op 
andere terreinen van het openbare leven, teniet te doen of aan te tasten, dan wel de 
tenietdoening of aantasting daarvan ten gevolge heeft”. Racisme als een veelkoppig monster  
Naast een juridische benadering van racisme is er in de sociale wetenschappen veel 
gepubliceerd over (de betekenis van) racisme. In de wetenschappelijke literatuur is er 
brede erkenning voor het idee dat racisme een veelkoppig monster is. In navolging van 
veel andere wetenschappers zien wij racisme dan ook als een breed verschijnsel met 
uiteenlopende verschijningsvormen."
60d42fa3:00000,C:\Users\Home\policy-analysis\Slavery_text\Racisme bij het Ministerie van Buitenlandse Zaken. Een verkennend onderzoek.15.txt,Modern Racism & Inequality,0.6221744519440431,0.3198906573790789,0.3748920685832728,0.6221744519440431,high,"RACISME BIJ HET MINISTERIE VAN BUITENLANDSE ZAKEN 
Een verkennend onderzoek 
 
15 
 
dominante meerderheidsgroep en inferioriteit van verschillende etnische 
minderheidsgroepen. Subtiele vormen wordt vaak niet herkend als racisme 
Indirecte en subtielere vormen worden vaak niet herkend als racisme. Racisme roept 
doorgaans uitsluitend associaties op met kwaadaardige en openlijke vormen van haat, 
agressie en misbruik (Van den Broek, 2020). De veronderstelling heerst dat racisme een 
extreem verschijnsel is waar slechts een kleine groep zich schuldig aan maakt (Essed, 
2018). Een verwijt van racisme wordt ervaren als een zware beschuldiging. Er is mede 
daarom vaak een sterke weerstand tegen het gebruik van de term ‘racisme’. Alleen op 
incidentele basis wordt het gebruik ervan geaccepteerd. De allergie voor het gebruik van 
het woord racisme komt ook door het positieve en onschuldige zelfbeeld van witte 
Nederlanders (Ghorashi, 2015; Wekker, 2020). Alledaags racisme en microagressie 
 
Het niet herkennen van indirecte en subtiele vormen van racisme heeft te maken met de 
fixatie op praktijken die juridisch strafbaar zijn of op harde vormen van racisme. Een 
dergelijke benadering van racisme is een te beperkt perspectief, omdat het voorbij gaat 
aan de gelaagdheid, complexiteit en diversiteit aan ervaringen van mensen."
2d8a59a0:00000,C:\Users\Home\policy-analysis\Slavery_text\Racisme bij het Ministerie van Buitenlandse Zaken. Een verkennend onderzoek.28.txt,Modern Racism & Inequality,0.6210960110628875,0.2782866136104106,0.3562424654582339,0.6210960110628875,high,"RACISME BIJ HET MINISTERIE VAN BUITENLANDSE ZAKEN 
Een verkennend onderzoek 
 
28 
 
3 Racisme op de werkvloer  
 
In dit hoofdstuk beschrijven we de ervaringen van bi-culturele en lokaal aangenomen 
medewerkers met racisme in hun interacties met collega’s op de werkvloer in Den Haag 
en de verschillende ambassades. In de analyse van de interviews zijn we hierbij op zoek 
gegaan naar patronen, dat wil zeggen ervaringen die geregeld terugkeren in de verhalen 
van respondenten. Het gaat om ervaringen die meerdere respondenten gedeeld 
hebben. Dat kunnen persoonlijke ervaringen zijn, maar het kunnen ook ervaringen zijn die 
respondenten hebben waargenomen of gehoord hebben van collega’s. We staan verder 
stil bij de impact van racisme en de ervaren omvang van racisme. 3.1 
Verbale agressie gebruiken 
Om te beginnen ervaren respondenten verbale agressie vanwege hun afkomst, huidskleur, 
cultuur en/of religie. Zo maken zij melding van racistische scheldwoorden. Doorgaans 
worden de respondenten niet persoonlijk uitgescholden, maar wordt in hun aanwezigheid 
wel over anderen zo gesproken. Zo vertelt een aantal medewerkers dat mensen vanwege 
hun huidskleur meerdere keren aangeduid zijn als “apen”, “bokito’s”, “negers” en “zwarte 
piet”. Afrikaanse landen zijn door een medewerker omschreven als “apenlanden.” Deze 
scheldwoorden zijn uitgesproken binnen verschillende directies."
d5c37876:00000,C:\Users\Home\policy-analysis\Slavery_text\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.167.txt,Historical Slavery,0.6158837934811486,0.4000476495051507,0.6158837934811486,0.3738665535438487,high,"— 167 —
— SLAVERNIJ, AFSCHAFFINGEN EN DOORWERKINGEN —
in een productiebedrijf in de Nederlandse Republiek.10 Rond de plantages 
ontstond een voor die tijd uniek geïntegreerd systeem van overzeese 
­productieve investeringen, grootschalige inzet van Afrikaanse slaafge­
maakten, een complex van zakelijke en financiële dienstverlening en 
­handels-, verwerkings- en consumptienetwerken tot diep in het Europese 
achterland. Deze grootschalige samenhang tussen (gedwongen) arbeids- 
en kapitaalvoorziening, productieve landbouw, handel en consumptie 
maakt de plantagesector voor velen een belangrijke voorloper van de 
hedendaagse kapitalistische wereldeconomie.11
 
Ook in voc-gebied in Azië waren plantages waarop slaafgemaakten 
gedwongen arbeid verrichtten voor de productie van exportgoederen. Het voc-monopolie op de intercontinentale handel wierp echter een 
grote drempel op voor directe private investeringen vanuit Europa in de 
Aziatische slavernij. Dat neemt niet weg dat handelaren en financiers in 
de Nederlandse Republiek verdienden aan de slavernij in Azië via hun 
investeringen in de voc, het doorverkopen van door slaafgemaakten 
geproduceerde goederen zoals foelie en nootmuskaat of door in Azië zelf 
vermogen op te bouwen. Naar de bijdrage van deze verschillende vormen 
van profiteren van Aziatische slavernij aan de kapitaalvorming in de 
Nederlandse Republiek moet nog systematisch onderzoek gedaan 
­worden. Drie hoofdbronnen kunnen worden aangewezen voor de miljoenen­
investeringen in het plantagestelsel in de Nederlandse Atlantische 
­koloniën. Ten eerste waren er kolonisten die zelf of met behulp van de 
eigen familienetwerken voldoende kapitaal bijeenbrachten om een plan­
tage te stichten en die vervolginvesteringen financierden uit de opbreng­
sten van de plantage. Voor grotere plantages kwam daar een tweede optie 
bij: geld lenen van kapitaalkrachtige kooplieden in de Nederlandse Repu­
bliek of elders. Een derde optie bood een nieuwe investeringsvorm die 
ontstond in de achttiende eeuw: de negotiatielening. Dat was een vorm 
van hypotheekverstrekking waarbij de plantage en slaafgemaakten als 
onderpand dienden."
c0aee7eb:00002,C:\Users\Home\policy-analysis\Slavery_text\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.451.txt,Colonialism,0.6083362526434012,0.6083362526434012,0.4706401590848083,0.3523695606622229,high,"7. Archief Ministerie van Koloniën (na), inv.nr. 31; Joseph Siwpersad, De Nederlandse regering 
en de afschaffing van de Surinaamse slavernij, 1833-
1863 (Groningen 1979) 14. 8. Duplicaten Bestuursarchieven van Suriname 
(na), inv.nr. 42, scan 157; Dorsey, Slave Traffic 
in the Age of Abolition, 200. 9. Alex van Stipriaan, Surinaams contrast. Roofbouw en overleven in een Caribische 
plantagekolonie, 1750-1863 (Leiden 1993) 314; 
Joseph Siwpersad, De Nederlandse regering en de 
afschaffing, 47. 10."
a1a7c598:00001,C:\Users\Home\policy-analysis\Slavery_text\Allen e.a. - 2023 - Staat en slavernij het Nederlandse koloniale slavernijverleden en zijn doorwerkingen.125.txt,Historical Slavery,0.6028114063158407,0.3654434036072671,0.6028114063158407,0.3571035802019902,high,"Slavernij is dus 
onlosmakelijk verbonden met die oorlog. Het ontvoeren en vervoeren van Afrikanen om hen tot slaaf te maken, als­
mede de verschrikkingen die daarmee gepaard gingen, waren primair 
bedoeld om de slaafgemaakten onder dwang en zonder arbeidscontract 
goederen te laten produceren onder toezicht van de slaafmakers. Veel 
wetenschappers gebruikten de benaming ‘planters’ voor de slaafmakers, 
al blijkt uit alle bewijsmateriaal dat zij in werkelijkheid geen sprietje 
plantten. Het waren de slaafgemaakten die hakten, verbouwden en oogst­
ten, die balen droegen, kookten, serveerden, wasten en schoonmaakten, 
zodat de slaafmakers op de plantages, onbekommerd door deze onge­
schoolde tijdsbestedingen, zich konden wijden aan lezen, schrijven, 
­sporten en andere vormen van zelfontplooiing en recreatie."
4d67731d:00000,C:\Users\Home\policy-analysis\Slavery_text\Amsterdam en het slavernijverleden.37.txt,Historical Slavery,0.5993153132655219,0.39165247750384,0.5993153132655219,0.235997457303472,high,"37
­plantagehouders. Slaafgemaakten leefden 
vaak in gezinsverband in eenvoudige hutten 
op de plantage. Ze probeerden daarbij om 
hun Afrikaanse geloof en cultuur aan te 
houden, maar veel ‘eigenaren’ moesten 
daar niets van hebben. Plantage Vossenburg
Slaafgemaakten werkten meestal twaalf 
uur per dag. Dat werk bestond voor 
mannen uit zware arbeid, zoals het 
kappen van het regenwoud om het 
geschikt te maken voor het verbouwen 
van gewassen, maar ook het verbouwen 
en verwerken van de gewassen zelf. Sommige slaafgemaakten werden 
opgeleid tot het uitoefenen van 
ambachten. Zo werkten er op de 
plantage Vossenburg in Suriname 
bijvoorbeeld timmermannen en 
kuipers. Vrouwen werkten op het land 
of in de huishouding. Plantage Vossenburg was vanaf 1729 
tot na 1863 het eigendom van de 
Arnhemse burgemeestersfamilie 
Brantsen. Volgens een lijst uit 1852 
waren er dat jaar 136 slaafgemaakten 
op de plantage."
994e8750:00000,C:\Users\Home\policy-analysis\Slavery_text\Racisme bij het Ministerie van Buitenlandse Zaken. Een verkennend onderzoek.103.txt,Modern Racism & Inequality,0.594860025512619,0.3457404218498618,0.4119725139845131,0.594860025512619,high,"RACISME BIJ HET MINISTERIE VAN BUITENLANDSE ZAKEN 
Een verkennend onderzoek 
 
103 
 
Felten, H., Does, S., De Winter Kocak, S., Asante, A., Andriessen, I., Donker, R., & Brock, A. (2021). Institutioneel racisme in Nederland. Literatuuronderzoek naar de aanwijzingen voor 
institutioneel racisme op de domeinen arbeidsmarkt, woningmarkt, onderwijs en politiek. Utrecht: Kennisplatform Integratie & Samenleving. Fermin, A., Omlo, J., Walz, G., Kromhout, M., Robbers, S. & Butter, E. (2021) Institutioneel 
racisme bij de gemeente Utrecht? Een verkennende studie naar processen van uitsluiting 
op vier beleidsterreinen. Utrecht: Bureau Omlo."
43319f39:00000,C:\Users\Home\policy-analysis\Slavery_text\Racisme bij het Ministerie van Buitenlandse Zaken. Een verkennend onderzoek.34.txt,Modern Racism & Inequality,0.594832929518593,0.3188068941623977,0.3154104938940523,0.594832929518593,high,"RACISME BIJ HET MINISTERIE VAN BUITENLANDSE ZAKEN 
Een verkennend onderzoek 
 
34 
 
religieuze achtergrond. Doordat zij door een religieuze of etnische bril bekeken worden, 
wordt over het hoofd gezien dat zij beschikken over bepaalde expertise en kennis. Om niet 
beschuldigd te hoeven worden van partijdigheid doen sommige collega’s aan 
“zelfcensuur”. Ze hebben het gevoel dat er geen veilige werkomgeving is om bepaalde 
politieke standpunten in te nemen. Cultureel racisme  
In de wetenschappelijke literatuur worden bovengenoemde patronen ook wel 
omschreven als cultureel racisme. Niet zozeer uiterlijke kenmerken en afkomst, maar de 
afwijkende cultuur van de ander vormt de belangrijkste aanleiding om over te gaan tot 
ongelijke behandeling en stereotiepe uitspraken. Er vindt uitsluiting plaats op basis van 
vermeende cultuurverschillen (vgl. Blokland & Hondius, 2003; Gilroy, 1987; Ghorashi, 2006; 
Gowricharn, 2000). Volgens Barker (1981), Essed (2018) en Witte (2010) is dit ook een vorm 
van racisme, omdat ‘cultuur’ veelal wordt verondersteld op basis van uiterlijke kenmerken, 
zoals huidskleur, afkomst en nationaliteit. De cultuur van de ander wijkt af van de norm en 
wordt veroordeeld en gediskwalificeerd als primitief, onderontwikkeld en minderwaardig."
359eabd7:00000,C:\Users\Home\policy-analysis\Slavery_text\ketenen van het verleden.194.txt,Modern Racism & Inequality,0.5937297378100257,0.320680925601477,0.3352952080831976,0.5937297378100257,high,"8 
Essed, P. (2020). Humiliation, dehumanization and the quest for dignity. Routledge International 
Handbook of Contemporary Racisms,  
Essed, P. (2020, 1991). Racismekennis [Inzicht in alledaags racisme]. Amsterdam: van Gennep. Eyerman, R. (2001). Cultural trauma: Slavery and the formation of African American identity 
Cambridge University Press."
